Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,323",278,"9,994","27,595","10,781",278,"9,678","20,737","6,542",0,316,"6,858",75.10%,62.20%,100.00%,96.80%,"5,936",0,4,"5,940","3,574","9,514","1,266",75
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","22,913",0,"14,407","37,320","14,379",0,"14,323","28,702","8,534",0,84,"8,618",76.90%,62.80%,-,99.40%,"6,034",0,0,"6,034","2,346","8,380",791,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"34,620",0,"16,890","51,510","19,451",0,"16,862","36,313","15,169",0,28,"15,197",70.50%,56.20%,-,99.80%,"11,322",0,1,"11,323","5,403","16,726","4,696","1,243"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,420","2,170","8,025","32,615","15,441","2,104","7,493","25,038","6,979",66,532,"7,577",76.80%,68.90%,97.00%,93.40%,"7,299",14,0,"7,313","3,362","10,675","1,565",129
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","32,619","5,254","9,180","47,053","21,008","5,239","8,775","35,022","11,611",15,405,"12,031",74.40%,64.40%,99.70%,95.60%,"9,518",945,50,"10,513","6,041","16,554","1,629",234
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,139",0,"10,956","33,095","11,525",0,"10,457","21,982","10,614",0,499,"11,113",66.40%,52.10%,-,95.40%,"5,866",0,122,"5,988","1,633","7,621","2,067",754
QYG,NHS Cheshire And Merseyside Integrated Care Board,"71,065","1,645","46,457","119,167","41,268","1,532","44,702","87,502","29,797",113,"1,755","31,665",73.40%,58.10%,93.10%,96.20%,"22,663",89,0,"22,752","7,231","29,983","8,140","2,814"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,917",0,"13,543","20,460","3,269",0,"13,043","16,312","3,648",0,500,"4,148",79.70%,47.30%,-,96.30%,"2,190",0,30,"2,220","1,170","3,390","1,005",396
QWU,NHS Coventry And Warwickshire Integrated Care Board,"23,931","1,828","8,930","34,689","14,623","1,736","8,735","25,094","9,308",92,195,"9,595",72.30%,61.10%,95.00%,97.80%,"5,542",74,77,"5,693","2,353","8,046","1,345",11
QHM,NHS North East And North Cumbria Integrated Care Board,"73,223","3,037","54,817","131,077","46,032","2,915","54,364","103,311","27,191",122,453,"27,766",78.80%,62.90%,96.00%,99.20%,"24,700",49,700,"25,449","11,137","36,586","5,491",336
