Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","16,474",249,"8,983","25,706","9,432",249,"8,855","18,536","7,042",0,128,"7,170",72.10%,57.30%,100.00%,98.60%,"5,310",0,8,"5,318","3,136","8,454","2,070",158
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","21,440",0,"11,045","32,485","6,097",0,"6,719","12,816","2,027",0,72,"2,099",85.90%,75.00%,-,98.90%,"6,195",0,0,"6,195","2,006","8,201",373,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"36,567",0,"15,427","51,994","21,443",0,"15,427","36,870","15,124",0,0,"15,124",70.90%,58.60%,-,100.00%,"9,699",0,0,"9,699","4,654","14,353","4,983",271
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","21,228","1,949","4,289","27,466","11,888","1,894","4,279","18,061","9,340",55,10,"9,405",65.80%,56.00%,97.20%,99.80%,"6,031",10,0,"6,041","2,509","8,550","2,720","1,169"
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","32,171","4,376","7,188","43,735","20,125","4,334","6,867","31,326","12,046",42,321,"12,409",71.60%,62.60%,99.00%,95.50%,"9,299",822,42,"10,163","5,483","15,646","1,804",1
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"20,678",0,"10,229","30,907","5,212",0,"4,254","9,466","6,090",0,804,"6,894",57.90%,46.10%,-,84.10%,"5,386",0,114,"5,500","1,933","7,433","2,261",867
QYG,NHS Cheshire And Merseyside Integrated Care Board,"74,487","1,306","45,229","121,022","41,986","1,207","44,294","87,487","32,501",99,935,"33,535",72.30%,56.40%,92.40%,97.90%,"20,479",89,0,"20,568","5,714","26,282","6,966",972
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,291",0,"9,692","14,983","2,144",0,"9,377","11,521","3,147",0,315,"3,462",76.90%,40.50%,-,96.70%,"1,757",0,45,"1,802","1,105","2,907","1,097",663
QWU,NHS Coventry And Warwickshire Integrated Care Board,"24,516","1,573","8,142","34,231","14,290","1,465","7,824","23,579","10,226",108,318,"10,652",68.90%,58.30%,93.10%,96.10%,"6,495",87,107,"6,689","2,311","9,000","2,299",13
QHM,NHS North East And North Cumbria Integrated Care Board,"71,409","2,765","52,929","127,103","42,020","2,670","41,910","86,600","25,624",95,526,"26,245",76.70%,62.10%,96.60%,98.80%,"25,064",42,771,"25,877","10,382","36,259","6,326",439
QJK,NHS Devon Integrated Care Board,"25,103",109,"12,362","37,574","9,279",0,"8,489","17,768","8,241",0,101,"8,342",68.10%,53.00%,-,98.80%,"6,877",0,904,"7,781","3,136","10,917","2,465",584
QVV,NHS Dorset Integrated Care Board,"17,006",0,"2,172","19,178","2,287",0,"2,167","4,454","1,902",0,5,"1,907",70.00%,54.60%,-,99.80%,"17,052",6,0,"17,058","2,120","19,178","1,199",174
QMF,NHS North East London Integrated Care Board,"44,655","2,785","31,101","78,541","26,029","2,358","27,258","55,645","18,626",427,"3,843","22,896",70.80%,58.30%,84.70%,87.60%,"10,920",0,0,"10,920","2,141","13,061","5,258",984
QNQ,NHS Frimley Integrated Care Board,"19,931",0,"2,866","22,797",0,0,"2,866","2,866",0,0,0,0,100.00%,-,-,100.00%,"4,525",0,0,"4,525",805,"5,330","1,718",0
QR1,NHS Gloucestershire Integrated Care Board,"11,583",0,"4,114","15,697","6,315",0,"4,089","10,404","5,268",0,25,"5,293",66.30%,54.50%,-,99.40%,"2,331",0,1,"2,332","1,075","3,407","1,069",690
QOP,NHS Greater Manchester Integrated Care Board,"87,677","2,733","22,198","112,608","47,298","2,701","21,320","71,319","40,379",32,878,"41,289",63.30%,53.90%,98.80%,96.00%,"22,791",46,313,"23,150","5,969","29,119","10,467","1,557"
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"33,397","1,826","19,995","55,218","15,945","1,190","16,970","34,105","8,926",57,457,"9,440",78.30%,64.10%,95.40%,97.40%,"10,626",12,1,"10,639","4,959","15,598","3,281",42
QE1,NHS Lancashire And South Cumbria Integrated Care Board,"32,929",0,"29,796","62,725","18,469",0,"29,092","47,561","14,460",0,704,"15,164",75.80%,56.10%,-,97.60%,"10,969",0,439,"11,408","3,795","15,203","5,348","2,093"
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"17,404",0,"5,464","22,868","9,494",0,"5,461","14,955","7,910",0,3,"7,913",65.40%,54.60%,-,99.90%,"4,388",0,0,"4,388","1,548","5,936","1,836",491
QM7,NHS Hertfordshire And West Essex Integrated Care Board,"27,206",0,"15,932","43,138","13,750",0,"14,997","28,747","13,456",0,935,"14,391",66.60%,50.50%,-,94.10%,"6,854",0,0,"6,854","1,681","8,535","2,124",265
QOQ,NHS Humber And North Yorkshire Integrated Care Board,"35,395",361,"19,336","55,092","18,955",361,"18,019","37,335","16,440",0,"1,317","17,757",67.80%,53.60%,100.00%,93.20%,"10,534",5,0,"10,539","3,480","14,019","4,827","1,854"
QJ2,NHS Derby And Derbyshire Integrated Care Board,"18,628",0,"26,574","45,202","8,535",0,"24,060","32,595","10,093",0,"2,514","12,607",72.10%,45.80%,-,90.50%,"5,947",0,820,"6,767","2,030","8,797","2,377",436
QKS,NHS Kent And Medway Integrated Care Board,"51,095",0,"27,586","78,681","34,073",0,"26,632","60,705","17,022",0,954,"17,976",77.20%,66.70%,-,96.50%,"13,821",0,419,"14,240","3,584","17,824","4,475",655
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","19,085","1,686","10,805","31,576","10,034","1,592","10,338","21,964","9,051",94,467,"9,612",69.60%,52.60%,94.40%,95.70%,"4,401",1,0,"4,402","2,992","7,394","2,226",781
QJM,NHS Lincolnshire Integrated Care Board,"10,926",0,"12,745","23,671","5,297",0,"11,994","17,291","5,629",0,751,"6,380",73.00%,48.50%,-,94.10%,"3,569",0,0,"3,569",958,"4,527","2,016",745
QH8,NHS Mid And South Essex Integrated Care Board,"29,224",0,"2,094","31,318","19,114",0,"1,852","20,966","10,110",0,242,"10,352",66.90%,65.40%,-,88.40%,"8,196",0,193,"8,389","1,196","9,585","2,653",17
QMM,NHS Norfolk And Waveney Integrated Care Board,"22,879",0,"9,225","32,104","12,688",0,"9,220","21,908","10,191",0,5,"10,196",68.20%,55.50%,-,99.90%,"5,949",0,0,"5,949","2,207","8,156","3,551",962
QMJ,NHS North Central London Integrated Care Board,"50,598","5,773","11,496","67,867","32,422","5,755","10,372","48,549","18,176",18,"1,124","19,318",71.50%,64.10%,99.70%,90.20%,"7,321",3,0,"7,324","1,484","8,808","3,609",756
QRV,NHS North West London Integrated Care Board,"47,276","3,590","46,203","97,069","9,169",0,"28,341","37,510","8,100",0,"2,497","10,597",78.00%,53.10%,-,91.90%,"12,316",0,0,"12,316","3,420","15,736","4,215",405
QPM,NHS Northamptonshire Integrated Care Board,"17,277",624,"9,463","27,364","4,760",623,"9,399","14,782","3,803",1,64,"3,868",79.30%,55.60%,99.80%,99.30%,"3,518",0,0,"3,518","1,558","5,076","1,871",541
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"24,532","1,467","9,490","35,489","7,029",0,"8,100","15,129","2,418",0,"1,159","3,577",80.90%,74.40%,-,87.50%,"7,010",0,0,"7,010","3,464","10,474","2,263",686
QKK,NHS South East London Integrated Care Board,"40,488",575,"36,608","77,671","25,117",575,"33,074","58,766","15,371",0,"3,534","18,905",75.70%,62.00%,100.00%,90.30%,"10,739",0,0,"10,739","2,535","13,274","3,960",918
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,251",0,"4,612","14,863","5,184",0,"4,481","9,665","5,067",0,131,"5,198",65.00%,50.60%,-,97.20%,"2,835",0,41,"2,876","1,629","4,505","2,634",538
QSL,NHS Somerset Integrated Care Board,"11,366",0,"8,505","19,871","7,259",0,"8,334","15,593","4,107",0,171,"4,278",78.50%,63.90%,-,98.00%,"3,060",0,0,"3,060","1,329","4,389",739,174
QWE,NHS South West London Integrated Care Board,"43,633",210,"12,212","56,055","30,317",210,"12,115","42,642","13,316",0,97,"13,413",76.10%,69.50%,100.00%,99.20%,"7,632",1,209,"7,842","1,658","9,500","3,234",941
QF7,NHS South Yorkshire Integrated Care Board,"41,968",754,"12,078","54,800","22,045",754,"11,950","34,749","12,431",0,128,"12,559",73.50%,63.90%,100.00%,98.90%,"11,415",0,510,"11,925","4,012","15,937","3,773",228
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,130",410,"7,304","20,844","5,726",410,"6,899","13,035","7,404",0,405,"7,809",62.50%,43.60%,100.00%,94.50%,"4,790",0,0,"4,790","2,135","6,925","1,768",878
QJG,NHS Suffolk And North East Essex Integrated Care Board,"20,469",0,"10,019","30,488","7,978",0,"9,476","17,454","5,803",0,98,"5,901",74.70%,57.90%,-,99.00%,"5,560",0,187,"5,747","1,941","7,688","1,742",74
QXU,NHS Surrey Heartlands Integrated Care Board,"25,472",0,"8,117","33,589","16,538",0,"7,947","24,485","8,934",0,170,"9,104",72.90%,64.90%,-,97.90%,"6,545",0,1,"6,546","1,327","7,873","1,989",5
QNX,NHS Sussex Integrated Care Board,"29,629","1,372","24,623","55,624","15,912","1,372","22,476","39,760","13,717",0,"2,147","15,864",71.50%,53.70%,100.00%,91.30%,"8,730",32,449,"9,211","2,420","11,631","2,824",690
QUA,NHS Black Country Integrated Care Board,"44,391","1,168","31,870","77,429","29,039",963,"30,351","60,353","15,352",205,"1,519","17,076",77.90%,65.40%,82.40%,95.20%,"14,020",0,0,"14,020","3,582","17,602","3,956",90
QWO,NHS West Yorkshire Integrated Care Board,"63,516",237,"18,400","82,153","29,172",237,"12,721","42,130","17,766",0,5,"17,771",70.30%,62.20%,100.00%,100.00%,"14,041",0,219,"14,260","4,445","18,705","5,238",372
