Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","18,359",223,"10,950","29,532","9,615",223,"10,532","20,370","8,744",0,418,"9,162",69.00%,52.40%,100.00%,96.20%,"5,676",0,5,"5,681","3,509","9,190","2,207",461
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,661",0,"20,663","45,324","5,180",0,"9,850","15,030","4,029",0,"1,017","5,046",74.90%,56.20%,-,90.60%,"6,203",0,0,"6,203","2,526","8,729","1,250",69
QHL,NHS Birmingham And Solihull Integrated Care Board,"40,235",0,"19,861","60,096","20,498",0,"19,861","40,359","19,737",0,0,"19,737",67.20%,50.90%,-,100.00%,"10,195",0,0,"10,195","4,604","14,799","5,225","1,830"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,768","1,763","6,899","31,430","11,573","1,703","6,557","19,833","11,195",60,342,"11,597",63.10%,50.80%,96.60%,95.00%,"6,191",9,0,"6,200","3,041","9,241","3,444","2,003"
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","36,677","4,637","8,125","49,439","18,676","4,628","7,580","30,884","18,001",9,545,"18,555",62.50%,50.90%,99.80%,93.30%,"9,960",872,67,"10,899","5,539","16,438","3,259",465
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"24,334",0,"10,658","34,992","5,462",0,"3,499","8,961","8,272",0,"1,127","9,399",48.80%,39.80%,-,75.60%,"5,874",0,139,"6,013","1,928","7,941","2,645","1,314"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"77,149","1,356","53,334","131,839","37,099","1,219","47,681","85,999","40,050",137,"5,653","45,840",65.20%,48.10%,89.90%,89.40%,"22,327",99,0,"22,426","6,413","28,839","10,406","4,738"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,169",0,"9,866","16,035","2,357",0,"9,196","11,553","3,812",0,670,"4,482",72.00%,38.20%,-,93.20%,"2,154",0,63,"2,217","1,390","3,607","1,308",681
QWU,NHS Coventry And Warwickshire Integrated Care Board,"27,057","1,500","10,153","38,710","14,547","1,427","9,526","25,500","12,510",73,627,"13,210",65.90%,53.80%,95.10%,93.80%,"7,159",86,77,"7,322","1,988","9,310","2,736",156
QHM,NHS North East And North Cumbria Integrated Care Board,"81,691","2,387","65,066","149,144","40,113","2,330","49,295","91,738","36,947",57,"1,845","38,849",70.30%,52.10%,97.60%,96.40%,"26,363",32,745,"27,140","11,168","38,308","7,969","2,371"
