Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,730",261,"9,670","27,661","9,821",261,"9,246","19,328","7,909",0,424,"8,333",69.90%,55.40%,100.00%,95.60%,"5,649",0,5,"5,654","3,831","9,485","1,662",121
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,456",0,"15,538","39,994","5,899",0,"8,232","14,131","2,799",0,229,"3,028",82.40%,67.80%,-,97.30%,"6,082",0,0,"6,082","2,581","8,663",894,2
QHL,NHS Birmingham And Solihull Integrated Care Board,"39,767",0,"16,775","56,542","21,162",0,"16,775","37,937","18,605",0,0,"18,605",67.10%,53.20%,-,100.00%,"10,411",0,0,"10,411","5,315","15,726","5,084","1,233"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,274","2,137","6,770","32,181","12,448","2,000","6,469","20,917","10,826",137,301,"11,264",65.00%,53.50%,93.60%,95.60%,"7,180",12,0,"7,192","2,893","10,085","3,088","1,295"
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,808","5,270","8,545","49,623","19,312","5,248","8,190","32,750","16,496",22,355,"16,873",66.00%,53.90%,99.60%,95.80%,"9,819","1,040",72,"10,931","5,924","16,855","2,364",282
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,239",0,"10,337","33,576","6,832",0,"3,706","10,538","6,124",0,762,"6,886",60.50%,52.70%,-,82.90%,"6,084",0,122,"6,206","2,159","8,365","2,302",948
QYG,NHS Cheshire And Merseyside Integrated Care Board,"75,281","1,511","48,039","124,831","39,764","1,430","45,690","86,884","35,517",81,"2,349","37,947",69.60%,52.80%,94.60%,95.10%,"22,488",87,0,"22,575","6,834","29,409","9,447","3,782"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,635",0,"9,348","14,983","2,581",0,"8,999","11,580","3,054",0,349,"3,403",77.30%,45.80%,-,96.30%,"2,061",0,50,"2,111","1,393","3,504","1,002",412
QWU,NHS Coventry And Warwickshire Integrated Care Board,"26,191","1,738","9,279","37,208","15,776","1,644","8,861","26,281","10,415",94,418,"10,927",70.60%,60.20%,94.60%,95.50%,"6,347",97,73,"6,517","2,289","8,806","1,921",4
QHM,NHS North East And North Cumbria Integrated Care Board,"76,472","2,750","55,838","135,060","40,935","2,664","43,500","87,099","31,286",86,779,"32,151",73.00%,56.70%,96.90%,98.20%,"24,662",32,774,"25,468","11,526","36,994","6,670","1,393"
