Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,947",298,"10,199","28,444","10,609",298,"9,759","20,666","7,338",0,440,"7,778",72.70%,59.10%,100.00%,95.70%,"5,838",0,4,"5,842","3,624","9,466","1,460",238
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,210",0,"14,402","38,612","14,487",0,"14,319","28,806","9,723",0,83,"9,806",74.60%,59.80%,-,99.40%,"6,489",0,0,"6,489","2,435","8,924",786,6
QHL,NHS Birmingham And Solihull Integrated Care Board,"36,535",0,"16,413","52,948","20,410",0,"16,390","36,800","16,125",0,23,"16,148",69.50%,55.90%,-,99.90%,"11,535",0,4,"11,539","4,764","16,303","4,728","1,949"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,718","2,175","8,620","34,513","15,076","2,064","7,682","24,822","8,642",111,938,"9,691",71.90%,63.60%,94.90%,89.10%,"7,350",13,0,"7,363","3,431","10,794","1,948",216
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","34,935","5,008","9,657","49,600","20,910","4,994","9,017","34,921","14,025",14,640,"14,679",70.40%,59.90%,99.70%,93.40%,"9,968",869,45,"10,882","6,222","17,104","1,842",206
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,695",0,"11,390","34,085","12,146",0,"10,696","22,842","10,549",0,694,"11,243",67.00%,53.50%,-,93.90%,"5,885",0,135,"6,020","1,770","7,790","1,958",786
QYG,NHS Cheshire And Merseyside Integrated Care Board,"73,787","1,563","47,435","122,785","41,671","1,454","44,385","87,510","32,116",109,"3,050","35,275",71.30%,56.50%,93.00%,93.60%,"22,442",92,0,"22,534","7,282","29,816","8,642","3,332"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,276",0,"12,207","18,483","2,838",0,"11,717","14,555","3,438",0,490,"3,928",78.70%,45.20%,-,96.00%,"2,123",0,50,"2,173","1,088","3,261","1,015",462
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,151","1,758","8,750","35,659","15,445","1,650","8,456","25,551","9,706",108,294,"10,108",71.70%,61.40%,93.90%,96.60%,"5,871",75,75,"6,021","2,346","8,367","1,191",26
QHM,NHS North East And North Cumbria Integrated Care Board,"73,911","2,818","56,207","132,936","44,165","2,740","55,598","102,503","29,746",78,609,"30,433",77.10%,59.80%,97.20%,98.90%,"24,638",28,769,"25,435","11,185","36,620","6,364",585
QJK,NHS Devon Integrated Care Board,"28,069",212,"13,138","41,419","13,799",212,"12,544","26,555","14,270",0,594,"14,864",64.10%,49.20%,100.00%,95.50%,"8,259",0,0,"8,259","4,524","12,783","3,076",757
QVV,NHS Dorset Integrated Care Board,"18,002",0,"7,322","25,324","9,642",0,"7,316","16,958","8,360",0,6,"8,366",67.00%,53.60%,-,99.90%,"5,609",6,2,"5,617","2,521","8,138",267,25
QMF,NHS North East London Integrated Care Board,"45,972","3,234","29,541","78,747","27,633","2,723","23,937","54,293","18,339",511,"5,604","24,454",68.90%,60.10%,84.20%,81.00%,"13,944",0,0,"13,944","1,728","15,672","3,771","1,506"
QNQ,NHS Frimley Integrated Care Board,"21,200",0,"3,612","24,812","12,566",0,"3,612","16,178","8,634",0,0,"8,634",65.20%,59.30%,-,100.00%,"5,735",0,0,"5,735",296,"6,031","1,834",0
QR1,NHS Gloucestershire Integrated Care Board,"12,805",0,"7,007","19,812","7,487",0,"6,979","14,466","5,318",0,28,"5,346",73.00%,58.50%,-,99.60%,"2,708",0,0,"2,708","1,484","4,192","1,360",712
QOP,NHS Greater Manchester Integrated Care Board,"82,881","3,636","31,725","118,242","46,082","3,536","29,148","78,766","36,799",100,"2,577","39,476",66.60%,55.60%,97.20%,91.90%,"21,711",168,805,"22,684","5,416","28,100","8,963","1,566"
