Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,766",267,"9,958","27,991","10,445",267,"9,678","20,390","7,321",0,280,"7,601",72.80%,58.80%,100.00%,97.20%,"5,523",0,6,"5,529","3,508","9,037","1,482",80
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,590",0,"14,246","39,836","6,639",0,"7,433","14,072","2,197",0,214,"2,411",85.40%,75.10%,-,97.20%,"6,005",0,0,"6,005","2,101","8,106",494,1
QHL,NHS Birmingham And Solihull Integrated Care Board,"39,047",0,"15,236","54,283","22,599",0,"15,236","37,835","16,448",0,0,"16,448",69.70%,57.90%,-,100.00%,"9,919",0,0,"9,919","4,916","14,835","9,496",552
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,763","2,084","7,073","31,920","13,348","2,007","6,738","22,093","9,415",77,335,"9,827",69.20%,58.60%,96.30%,95.30%,"6,424",9,0,"6,433","2,473","8,906","2,656",873
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,186","4,849","8,218","48,253","22,284","4,783","7,674","34,741","12,902",66,544,"13,512",72.00%,63.30%,98.60%,93.40%,"9,856",937,47,"10,840","5,625","16,465","1,757",0
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,501",0,"11,489","33,990","5,082",0,"4,396","9,478","7,169",0,"1,004","8,173",53.70%,41.50%,-,81.40%,"5,642",0,120,"5,762","2,143","7,905","2,119",868
QYG,NHS Cheshire And Merseyside Integrated Care Board,"74,696","1,388","47,727","123,811","42,051","1,296","45,914","89,261","32,645",92,"1,813","34,550",72.10%,56.30%,93.40%,96.20%,"21,531",80,13,"21,624","6,039","27,663","7,604","1,024"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,814",0,"11,399","17,213","2,621",0,"10,783","13,404","3,193",0,616,"3,809",77.90%,45.10%,-,94.60%,"1,919",0,33,"1,952","1,120","3,072","1,089",607
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,336","1,626","9,161","36,123","14,972","1,533","8,975","25,480","10,364",93,186,"10,643",70.50%,59.10%,94.30%,98.00%,"6,727",75,119,"6,921","2,754","9,675","2,016",3
QHM,NHS North East And North Cumbria Integrated Care Board,"75,289","2,838","58,266","136,393","44,489","2,775","45,372","92,636","26,908",63,625,"27,596",77.00%,62.30%,97.80%,98.60%,"25,752",43,819,"26,614","10,425","37,039","6,339",327
