Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","18,206",319,"10,655","29,180","10,138",319,"10,300","20,757","8,068",0,355,"8,423",71.10%,55.70%,100.00%,96.70%,"6,255",0,6,"6,261","4,028","10,289","1,890",129
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,175",0,"17,200","41,375","14,170",0,"17,011","31,181","10,005",0,189,"10,194",75.40%,58.60%,-,98.90%,"7,052",0,0,"7,052","2,829","9,881","1,038",15
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,560",0,"17,347","55,907","20,939",0,"17,335","38,274","17,621",0,12,"17,633",68.50%,54.30%,-,99.90%,"11,391",0,0,"11,391","7,956","19,347","4,869","2,461"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","24,588","2,243","7,945","34,776","15,058","2,166","7,282","24,506","9,530",77,663,"10,270",70.50%,61.20%,96.60%,91.70%,"8,364",7,0,"8,371","3,728","12,099","2,791",645
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,656","5,188","8,819","49,663","21,213","5,174","8,287","34,674","14,443",14,532,"14,989",69.80%,59.50%,99.70%,94.00%,"11,140",983,61,"12,184","6,490","18,674","2,689",538
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,830",0,"10,566","34,396","11,116",0,"9,802","20,918","12,714",0,764,"13,478",60.80%,46.60%,-,92.80%,"6,159",0,149,"6,308","2,190","8,498","2,811","1,516"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"75,839","1,762","47,443","125,044","41,372","1,563","43,224","86,159","34,467",199,"4,219","38,885",68.90%,54.60%,88.70%,91.10%,"22,619",99,0,"22,718","8,581","31,299","10,477","5,555"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,010",0,"10,528","16,538","2,486",0,"9,974","12,460","3,524",0,554,"4,078",75.30%,41.40%,-,94.70%,"2,203",0,46,"2,249","1,132","3,381","1,249",804
QWU,NHS Coventry And Warwickshire Integrated Care Board,"26,126","1,825","9,674","37,625","15,458","1,694","9,314","26,466","10,668",131,360,"11,159",70.30%,59.20%,92.80%,96.30%,"6,356",69,100,"6,525","2,564","9,089","1,789",389
QHM,NHS North East And North Cumbria Integrated Care Board,"77,816","2,777","59,647","140,240","42,469","2,680","58,807","103,956","35,347",97,840,"36,284",74.10%,54.60%,96.50%,98.60%,"26,130",22,778,"26,930","13,156","40,086","7,695",986
QJK,NHS Devon Integrated Care Board,"27,038",117,"12,033","39,188","12,842",117,"11,521","24,480","14,196",0,512,"14,708",62.50%,47.50%,100.00%,95.70%,"8,507",0,0,"8,507","4,745","13,252","3,033","1,017"
