Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,941",221,"9,987","28,149","10,063",221,"9,741","20,025","7,878",0,246,"8,124",71.10%,56.10%,100.00%,97.50%,"5,560",0,2,"5,562","3,575","9,137","1,749",55
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,731",0,"13,314","39,045","6,178",0,"7,363","13,541","2,729",0,123,"2,852",82.60%,69.40%,-,98.40%,"6,085",0,0,"6,085","2,087","8,172",986,8
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,165",0,"13,299","51,464","21,117",0,"13,299","34,416","17,048",0,0,"17,048",66.90%,55.30%,-,100.00%,"9,638",0,0,"9,638","4,868","14,506","4,801",749
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","23,050","2,044","7,802","32,896","12,446","1,883","7,489","21,818","10,604",161,313,"11,078",66.30%,54.00%,92.10%,96.00%,"6,920",5,0,"6,925","2,190","9,115","2,912","1,182"
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","34,555","4,687","8,067","47,309","21,182","4,649","7,561","33,392","13,373",38,506,"13,917",70.60%,61.30%,99.20%,93.70%,"9,843",865,12,"10,720","5,628","16,348","2,142",3
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"22,879",0,"9,112","31,991","5,010",0,"3,746","8,756","7,752",0,"1,002","8,754",50.00%,39.30%,-,78.90%,"5,536",0,116,"5,652","2,045","7,697","2,595","1,228"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"74,808","1,452","48,370","124,630","40,280","1,321","46,977","88,578","34,528",131,"1,393","36,052",71.10%,53.80%,91.00%,97.10%,"20,892",110,0,"21,002","6,141","27,143","8,506","1,606"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,041",0,"12,147","18,188","2,679",0,"11,435","14,114","3,362",0,712,"4,074",77.60%,44.30%,-,94.10%,"1,873",0,46,"1,919","1,168","3,087","1,169",645
QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,136","1,623","9,141","35,900","14,941","1,499","9,019","25,459","10,195",124,122,"10,441",70.90%,59.40%,92.40%,98.70%,"6,690",73,78,"6,841","2,295","9,136","2,070",1
QHM,NHS North East And North Cumbria Integrated Care Board,"75,953","2,755","58,081","136,789","43,867","2,691","46,110","92,668","28,002",64,624,"28,690",76.40%,61.00%,97.70%,98.70%,"25,463",43,704,"26,210","10,772","36,982","6,426",653
QJK,NHS Devon Integrated Care Board,"26,468",148,"14,576","41,192","8,470",0,"10,038","18,508","10,217",0,227,"10,444",63.90%,45.30%,-,97.80%,"6,868",0,"1,103","7,971","3,090","11,061","3,006","1,035"
QVV,NHS Dorset Integrated Care Board,"18,867",0,"2,983","21,850","2,433",0,"2,979","5,412","2,087",0,4,"2,091",72.10%,53.80%,-,99.90%,"5,085",9,0,"5,094","2,373","7,467","1,019",85
QMF,NHS North East London Integrated Care Board,"48,376","2,940","32,471","83,787","26,514","2,596","26,994","56,104","21,862",344,"5,477","27,683",67.00%,54.80%,88.30%,83.10%,"11,195",0,0,"11,195","2,097","13,292","5,618","1,043"
