Code,System,Attendances (Type 1),Attendances (Type 2),Attendances (Type 3),Attendances (Total) ,Attendances in 4 hours or less (Type 1),Attendances in 4 hours or less (Type 2),Attendances under 4 hours (Type 3),Attendances under 4 hours (Total),Attendances over 4 hours (Type 1),Attendances over 4 hours (Type 2),Attendances over 4 hours (Type 3),Attendances over 4 hours (Total),Percentage in 4 hours or less (Total),Percentage in 4 hours or less (Type 1),Percentage in 4 hours or less (Type 2),Percentage in 4 hours or less (Type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","18,187",316,"10,217","28,720","10,090",316,"9,834","20,240","8,097",0,383,"8,480",70.50%,55.50%,100.00%,96.30%,"6,039",0,4,"6,043","3,821","9,864","1,714",192
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","24,898",0,"15,223","40,121","15,372",0,"15,084","30,456","9,526",0,139,"9,665",75.90%,61.70%,-,99.10%,"7,086",0,0,"7,086","2,629","9,715",672,0
QHL,NHS Birmingham And Solihull Integrated Care Board,"38,935",0,"16,435","55,370","21,434",0,"16,406","37,840","17,501",0,29,"17,530",68.30%,55.10%,-,99.80%,"11,505",0,1,"11,506","5,796","17,302","4,874","2,343"
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","24,509","2,445","8,724","35,678","14,758","2,311","7,834","24,903","9,751",134,890,"10,775",69.80%,60.20%,94.50%,89.80%,"7,852",7,0,"7,859","3,606","11,465","2,583",499
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","36,071","5,340","9,527","50,938","20,756","5,325","8,831","34,912","15,315",15,696,"16,026",68.50%,57.50%,99.70%,92.70%,"10,657",921,51,"11,629","6,283","17,912","2,327",338
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"23,580",0,"10,920","34,500","11,200",0,"10,222","21,422","12,380",0,698,"13,078",62.10%,47.50%,-,93.60%,"6,065",0,127,"6,192","1,924","8,116","2,593","1,251"
QYG,NHS Cheshire And Merseyside Integrated Care Board,"77,950","1,785","47,876","127,611","42,779","1,553","44,648","88,980","35,171",232,"3,228","38,631",69.70%,54.90%,87.00%,93.30%,"23,657",108,0,"23,765","7,874","31,639","9,255","4,230"
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,906",0,"11,340","17,246","2,705",0,"10,826","13,531","3,201",0,514,"3,715",78.50%,45.80%,-,95.50%,"2,039",0,65,"2,104","1,088","3,192","1,118",693
QWU,NHS Coventry And Warwickshire Integrated Care Board,"26,665","1,819","9,413","37,897","16,145","1,687","8,883","26,715","10,520",132,530,"11,182",70.50%,60.50%,92.70%,94.40%,"6,224",91,91,"6,406","2,271","8,677","1,436",51
QHM,NHS North East And North Cumbria Integrated Care Board,"78,449","2,959","56,938","138,346","45,102","2,829","56,350","104,281","33,347",130,588,"34,065",75.40%,57.50%,95.60%,99.00%,"26,417",37,841,"27,295","11,334","38,629","7,147",763
